SepalLength_cm,SepalWidth_cm,PetalLength_cm,PetalWidth_cm,Species
5.53,2.41,3.81,1.06,versicolor
5.52,2.37,3.68,0.95,versicolor
5.8,2.66,3.89,1.16,versicolor
6.03,2.67,5.14,1.56,versicolor
5.38,3.04,4.51,1.45,versicolor
6.01,3.35,4.51,1.57,versicolor
6.7,3.07,4.68,1.48,versicolor
6.32,2.28,4.36,1.28,versicolor
5.59,3.04,4.06,1.3,versicolor
5.53,2.45,4.04,1.29,versicolor
5.5,2.59,4.4,1.17,versicolor
6.12,3.01,4.58,1.37,versicolor
5.79,2.62,4,1.19,versicolor
5,2.3,3.25,1.04,versicolor
5.58,2.72,4.24,1.28,versicolor
5.67,2.98,4.23,1.24,versicolor
5.68,2.86,4.22,1.25,versicolor
6.18,2.94,4.3,1.3,versicolor
5.1,2.47,3.01,1.12,versicolor
5.67,2.78,4.06,1.32,versicolor
6.34,3.25,6.03,2.47,virginica
5.85,2.71,5.14,1.86,virginica
7.14,3.05,5.93,2.07,virginica
6.26,2.92,5.55,1.78,virginica
6.55,3,5.77,2.23,virginica
7.65,2.95,6.62,2.14,virginica
4.86,2.54,4.53,1.75,virginica
7.3,2.92,6.26,1.76,virginica
6.66,2.5,5.81,1.75,virginica
7.19,3.57,6.05,2.52,virginica
6.47,3.18,5.12,2.03,virginica
6.42,2.7,5.27,1.87,virginica
6.82,3.03,5.51,2.12,virginica
5.66,2.52,5,1.96,virginica
5.83,2.77,5.11,2.39,virginica
6.38,3.24,5.28,2.29,virginica
6.49,2.99,5.54,1.83,virginica
7.73,3.83,6.7,2.21,virginica
7.68,2.63,6.89,2.27,virginica
5.98,2.22,5.02,1.54,virginica
6.91,3.2,5.69,2.28,virginica
5.6,2.79,4.92,1.98,virginica
7.74,2.77,6.67,2.01,virginica
6.26,2.74,4.92,1.85,virginica
6.72,3.32,5.66,2.08,virginica
7.19,3.23,5.96,1.83,virginica
6.23,2.85,4.78,1.79,virginica
6.07,3.01,4.86,1.81,virginica
6.38,2.77,5.56,2.08,virginica
7.18,3,5.78,1.64,virginica
7.39,2.76,6.09,1.93,virginica
7.92,3.78,6.41,2.03,virginica
6.42,2.8,5.6,2.21,virginica
6.34,2.83,5.12,1.47,virginica
6.07,2.57,5.58,1.42,virginica
7.71,3.01,6.06,2.33,virginica
6.26,3.41,5.6,2.4,virginica
6.41,3.1,5.46,1.79,virginica
6.04,3.03,4.83,1.75,virginica
6.87,3.11,5.39,2.08,virginica
6.7,3.05,5.56,2.44,virginica
6.88,3.09,5.11,2.29,virginica
5.82,2.73,5.14,1.91,virginica
6.81,3.16,5.87,2.31,virginica
6.75,3.26,5.74,2.51,virginica
6.67,2.95,5.18,2.33,virginica
6.31,2.54,5,1.93,virginica
6.52,2.97,5.16,1.97,virginica
6.16,3.42,5.4,2.28,virginica
5.86,2.98,5.13,1.78,virginica
