Year,Anomaly_degC
1983.666667,0.32
1983.75,0.32
1983.833333,0.21
1983.916667,0.43
1984,0.27
1984.083333,0.28
1984.166667,0.17
1984.25,0.27
1984.333333,0.15
1984.416667,0.28
1984.5,0.13
1984.583333,0.12
1984.666667,0.17
1984.75,0.14
1984.833333,0.12
1984.916667,0.04
1985,-0.09
1985.083333,0.18
1985.166667,0.02
1985.25,0.19
1985.333333,0.15
1985.416667,0.2
1985.5,0.13
1985.583333,0.08
1985.666667,0.13
1985.75,0.1
1985.833333,0.13
1985.916667,0.12
1986,0.2
1986.083333,0.32
1986.166667,0.28
1986.25,0.3
1986.333333,0.26
1986.416667,0.25
1986.5,0.25
1986.583333,0.17
1986.666667,0.17
1986.75,0.17
1986.833333,0.21
1986.916667,0.16
1987,0.22
1987.083333,0.31
1987.166667,0.5
1987.25,0.26
1987.333333,0.3
1987.416667,0.33
1987.5,0.3
1987.583333,0.42
1987.666667,0.38
1987.75,0.43
1987.833333,0.34
1987.916667,0.33
1988,0.53
1988.083333,0.55
1988.166667,0.39
1988.25,0.48
1988.333333,0.44
1988.416667,0.38
1988.5,0.39
1988.583333,0.34
1988.666667,0.32
1988.75,0.32
1988.833333,0.3
1988.916667,0.23
1989,0.36
1989.083333,0.21
1989.166667,0.3
1989.25,0.34
1989.333333,0.29
1989.416667,0.28
1989.5,0.27
1989.583333,0.3
1989.666667,0.3
1989.75,0.3
1989.833333,0.3
1989.916667,0.25
1990,0.4
1990.083333,0.36
1990.166667,0.4
1990.25,0.73
1990.333333,0.49
1990.416667,0.42
1990.5,0.4
1990.583333,0.34
1990.666667,0.34
1990.75,0.31
1990.833333,0.42
1990.916667,0.47
1991,0.44
1991.083333,0.45
1991.166667,0.46
1991.25,0.37
1991.333333,0.52
1991.416667,0.41
1991.5,0.48
1991.583333,0.44
1991.666667,0.38
1991.75,0.38
1991.833333,0.33
1991.916667,0.32
1992,0.3
1992.083333,0.47
1992.166667,0.45
1992.25,0.43
1992.333333,0.29
1992.416667,0.33
1992.5,0.28
1992.583333,0.13
1992.666667,0.14
1992.75,0.06
1992.833333,0.11
1992.916667,0.09
1993,0.28
1993.083333,0.38
1993.166667,0.39
1993.25,0.42
1993.333333,0.31
1993.416667,0.34
1993.5,0.29
1993.583333,0.23
1993.666667,0.21
1993.75,0.17
1993.833333,0.24
1993.916667,0.09
1994,0.3
1994.083333,0.29
1994.166667,0.08
1994.25,0.36
1994.333333,0.36
1994.416667,0.38
1994.5,0.38
1994.583333,0.31
1994.666667,0.31
1994.75,0.33
1994.833333,0.43
1994.916667,0.45
1995,0.4
1995.083333,0.55
1995.166667,0.69
1995.25,0.46
1995.333333,0.41
1995.416667,0.35
1995.5,0.46
1995.583333,0.42
1995.666667,0.5
1995.75,0.38
1995.833333,0.44
1995.916667,0.45
1996,0.35
1996.083333,0.26
1996.166667,0.45
1996.25,0.32
1996.333333,0.27
1996.416667,0.39
1996.5,0.35
1996.583333,0.32
1996.666667,0.32
1996.75,0.26
1996.833333,0.23
1996.916667,0.28
1997,0.39
1997.083333,0.37
1997.166667,0.43
1997.25,0.46
1997.333333,0.45
1997.416667,0.42
1997.5,0.53
1997.583333,0.51
1997.666667,0.54
1997.75,0.62
1997.833333,0.65
1997.916667,0.59
1998,0.63
1998.083333,0.61
1998.166667,0.87
1998.25,0.64
1998.333333,0.74
1998.416667,0.67
1998.5,0.66
1998.583333,0.73
1998.666667,0.68
1998.75,0.53
1998.833333,0.5
1998.916667,0.41
1999,0.58
1999.083333,0.5
1999.166667,0.67
1999.25,0.37
1999.333333,0.46
1999.416667,0.41
1999.5,0.42
1999.583333,0.4
1999.666667,0.37
1999.75,0.4
1999.833333,0.38
1999.916667,0.37
2000,0.58
2000.083333,0.34
2000.166667,0.54
2000.25,0.56
2000.333333,0.63
2000.416667,0.47
2000.5,0.41
2000.583333,0.4
2000.666667,0.46
2000.75,0.43
2000.833333,0.3
2000.916667,0.26
2001,0.32
2001.083333,0.47
2001.166667,0.4
2001.25,0.63
2001.333333,0.57
2001.416667,0.6
2001.5,0.54
2001.583333,0.56
2001.666667,0.6
2001.75,0.5
2001.833333,0.5
2001.916667,0.69
2002,0.51
2002.083333,0.7
2002.166667,0.78
2002.25,0.79
2002.333333,0.57
2002.416667,0.56
2002.5,0.59
2002.583333,0.62
2002.666667,0.53
2002.75,0.57
2002.833333,0.48
2002.916667,0.59
2003,0.44
2003.083333,0.69
2003.166667,0.56
2003.25,0.57
2003.333333,0.56
2003.416667,0.6
2003.5,0.54
2003.583333,0.54
2003.666667,0.62
2003.75,0.64
2003.833333,0.73
2003.916667,0.58
2004,0.74
2004.083333,0.6
2004.166667,0.72
2004.25,0.7
2004.333333,0.6
2004.416667,0.45
2004.5,0.47
2004.583333,0.48
2004.666667,0.51
2004.75,0.53
2004.833333,0.62
2004.916667,0.76
2005,0.51
2005.083333,0.62
2005.166667,0.51
2005.25,0.69
2005.333333,0.73
2005.416667,0.66
2005.5,0.67
2005.583333,0.66
2005.666667,0.62
2005.75,0.68
2005.833333,0.69
2005.916667,0.73
2006,0.62
2006.083333,0.46
2006.166667,0.62
2006.25,0.6
2006.333333,0.52
2006.416667,0.55
2006.5,0.63
2006.583333,0.62
2006.666667,0.62
2006.75,0.63
2006.833333,0.68
2006.916667,0.64
2007,0.76
2007.083333,0.89
2007.166667,0.66
2007.25,0.67
2007.333333,0.73
2007.416667,0.61
2007.5,0.54
2007.583333,0.53
2007.666667,0.55
2007.75,0.58
2007.833333,0.57
2007.916667,0.52
2008,0.49
2008.083333,0.28
2008.166667,0.38
2008.25,0.77
2008.333333,0.48
2008.416667,0.5
2008.5,0.53
2008.583333,0.58
2008.666667,0.56
2008.75,0.53
2008.833333,0.67
2008.916667,0.67
2009,0.56
2009.083333,0.6
2009.166667,0.57
2009.25,0.58
2009.333333,0.65
2009.416667,0.59
2009.5,0.67
2009.583333,0.64
2009.666667,0.7
2009.75,0.71
2009.833333,0.64
2009.916667,0.67
2010,0.61
2010.083333,0.7
2010.166667,0.71
2010.25,0.85
2010.333333,0.82
2010.416667,0.76
2010.5,0.73
2010.583333,0.73
2010.666667,0.66
2010.75,0.57
2010.833333,0.62
2010.916667,0.77
2011,0.48
2011.083333,0.47
2011.166667,0.49
2011.25,0.59
2011.333333,0.65
2011.416667,0.57
2011.5,0.64
2011.583333,0.63
2011.666667,0.61
2011.75,0.6
2011.833333,0.63
2011.916667,0.49
2012,0.55
2012.083333,0.42
2012.166667,0.42
2012.25,0.52
2012.333333,0.73
2012.416667,0.72
2012.5,0.7
2012.583333,0.69
2012.666667,0.67
2012.75,0.73
2012.833333,0.7
2012.916667,0.71
2013,0.46
2013.083333,0.58
2013.166667,0.63
2013.25,0.61
2013.333333,0.56
2013.416667,0.71
2013.5,0.68
2013.583333,0.67
2013.666667,0.66
2013.75,0.69
2013.833333,0.68
2013.916667,0.83
2014,0.7
2014.083333,0.69
2014.166667,0.48
2014.25,0.77
2014.333333,0.8
2014.416667,0.8
2014.5,0.77
2014.583333,0.7
2014.666667,0.8
2014.75,0.79
2014.833333,0.79
2014.916667,0.69
2015,0.84
2015.083333,0.82
2015.166667,0.89
2015.25,0.9
2015.333333,0.78
2015.416667,0.86
2015.5,0.89
2015.583333,0.82
2015.666667,0.88
2015.75,0.93
2015.833333,1
2015.916667,0.97
2016,1.13
2016.083333,1.06
2016.166667,1.21
2016.25,1.24
2016.333333,1.09
2016.416667,0.89
2016.5,0.91
2016.583333,0.87
2016.666667,0.91
2016.75,0.88
2016.833333,0.74
2016.916667,0.76
2017,0.81
2017.083333,0.92
2017.166667,0.97
2017.25,1.04
2017.333333,0.89
2017.416667,0.82
2017.5,0.79
2017.583333,0.83
2017.666667,0.82
2017.75,0.78
2017.833333,0.73
2017.916667,0.77
2018,0.81
2018.083333,0.71
2018.166667,0.69
2018.25,0.85
2018.333333,0.83
2018.416667,0.8
2018.5,0.73
2018.583333,0.76
2018.666667,0.74
2018.75,0.78
