Sample_ID,Island,Latitude_degrees_N,Longitude_degrees_E,Rock_name,Al2O3_percent,Cr_ppm,Rb_ppm
s_36 [216] / s_KAH 36 [8517],HAWAIIAN ISLANDS / KAHOOLAWE / CALDERA-FILLING STAGE,20.5,-156.67,THOLEIITE [216],14.24,239,3.4
s_WAF-2 [11395],HAWAIIAN ISLANDS / OAHU / KOOLAU / SHIELD STAGE / KOOLAU SERIES,21.31,-157.65,NOT GIVEN [11395],14.02,239,8.34
s_ELP1 [6665],CANARY ISLANDS / LA PALMA / CUMBRE VIEJA,28.64,-18.16,BASANITE [6665] / NOT GIVEN [15508],14.25,239,39
ATT119,Aitutaki,-18.93,-159.76,,11.25,239.16,46.55
s_0408-132 [10784],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.23,55.73,BASALT [10784] / NOT GIVEN [16975],14.32,239.94,16.2
s_114 [216] / s_KAH 114 [18020],HAWAIIAN ISLANDS / KAHOOLAWE / POST-SHIELD STAGE,20.5,-156.67,"BASALT, ALKALINE [216]",13.53,240,8
s_RN951 [947],CANARY ISLANDS / GRAN CANARIA / POST-SHIELD STAGE / ROQUE NUBLO FORMATION,28,-15.6,BASANITE [947],12.12,240,35
RTG107,Rarotonga,-21.25,-159.75,,13.44,240.39,90.2
s_667-2 [12578],CANARY ISLANDS / LA PALMA,28.32,-17.74,BASALT [12578],16.11,241,20
s_HK-10-KWWS-92 [1496] / s_HK-10 [317],HAWAIIAN ISLANDS / MAUI / HALEAKALA / REJUVENATED STAGE / HANA SERIES,20.72,-156.17,"BASALT [1496] / BASALT, ALKALINE [317] / BASANITE [20654]",12.51,241,31.96
s_75NII-13 [12504],HAWAIIAN ISLANDS / NIIHAU / REJUVENATED STAGE / KIEKIE BASALT,21.83,-160.18,BASALT [12504],16.23,242,9.9
G141,Gough,-40.32,-9.93,Trachybasalt,14.44,242.04,54
RVV02,Raivavae,-23.79,-147.69,,14,242.73,28.08
s_Kil-774-7 [22613],HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE,19.4,-155.26,BASALT [22613],13.7,243,7
s_HW24 [7966],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE,19.41,-155.27,BASALT [7966],13.88,243,9.22
s_AK1004 [24409],AUSTRAL-COOK ISLANDS / AITUTAKI,-18.93,-159.76,NEPHELINITE [24409],11.43,243.24,52.95
s_111712 [8504],CAPE VERDE ISLANDS / SAO ANTAO / INTERMEDIATE VOLCANICS (SAO ANTAO),17,-25,BASANITE [8504],11.77,244,33
s_ALIA-D115-18 [12241] / s_ALIA-115-18 [21778],SAMOAN ISLANDS / SAVAI^I / SHIELD STAGE,-14.09,-172.9,"TRACHYBASALT [12241] / NOT GIVEN [21778] / BASALT [15770] / BASALT, ALKALINE [15598]",14.2,244,97.4
s_08DSG06 [20505],"GALAPAGOS ISLANDS / SANTIAGO (JAMES, SAN SALVADOR)",-0.34,-90.59,BASALT [20505],16.72,245,2.16
s_OW-208 [14135],HAWAIIAN ISLANDS / OAHU / WAIANAE / SHIELD STAGE / KAMEILE^UNU MEMBER,21.55,-158.18,"BASALT, TRANSITIONAL [14135]",15.03,245,8
s_RR01 [811],AUSTRAL-COOK ISLANDS / RURUTU / OLD TUBUAI-TREND LAVAS,-22.42,-151.33,"BASALT [811] / BASALT, ALKALINE [13651]",13.07,245,9.86
s_RG11 [856],CANARY ISLANDS / GRAN CANARIA / SHIELD STAGE / GUIGUI/HOGARZALES FORMATIONS,28,-15.6,BASALT [856],12.89,245,18.3
s_P2-5 [562],SOCIETY ISLANDS / MEHETIA,-17.92,-148.03,BASALT [562],13.37,245,44.7
s_IC-224 [2260],ICELAND / ICELAND / WESTERN ICELAND RIFT ZONE,64.04,-20.91,BASALT [2260],15.24,245.24,4.77
s_D59A [21895],GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,1.22,-91.01,BASALT [21895],13.77,246,9
s_AN7BM [1240],CAMEROON LINE / ANNOBON (PAGALU),-1.26,5.37,BASANITE [1240],12.36,246,41.2
s_863-191 [13440],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.25,55.75,BASALT [13440] / NOT GIVEN [16975],14.22,246.16,20.22
s_I1304 [12148],ICELAND / ICELAND,64.62,-14.46,NOT GIVEN [12148],14.72,247,6
s_HK-02-KWWS-92 [1496] / s_HK-02 [2661],HAWAIIAN ISLANDS / MAUI / HALEAKALA / REJUVENATED STAGE / HANA SERIES,20.72,-156.17,BASANITE [1496],14.92,247,33.11
ATT106,Aitutaki,-18.93,-159.76,,11.07,247.13,44.22
s_W95-84 [10282],GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / WOLF VOLCANO,0,-91.01,BASALT [10282],15.21,248,5.9
s_158 [216] / s_KAH 158 [18020],HAWAIIAN ISLANDS / KAHOOLAWE / POST-SHIELD STAGE,20.5,-156.67,THOLEIITE [216],14.08,248,10
s_Z147 [651],CAPE VERDE ISLANDS / SANTIAGO,14.9,-24.3,BASALT [651],14.7,248,90
s_ZI47 [726],CAPE VERDE ISLANDS / SANTIAGO / ASSOMADA  FORMATION,14.9,-24.3,BASANITE [726],14.7,248,90
s_P-4-2 [24239],CAROLINE ISLANDS / PONAPE,6.9,158.25,NOT GIVEN [24239],13.77,248.4,26.32
s_SCL16-470 [24087],GALAPAGOS ISLANDS / SAN CRISTOBAL (CHATHAM),-0.94,-89.49,BASALT [24087],17.6,248.42,1.79
s_AK1001  [24409],AUSTRAL-COOK ISLANDS / AITUTAKI,-18.93,-159.75,BASANITE [24409],11.22,248.85,43.02
s_1894-2 [6674],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE,19.41,-155.27,THOLEIITE [6674],13.96,249,9.6
s_KW-14 [198],HAWAIIAN ISLANDS / KAHOOLAWE / POST-SHIELD STAGE,20.56,-156.55,HAWAIITE [198],14.91,249,24
s_P1-1 [562],SOCIETY ISLANDS / MEHETIA,-17.92,-148.03,BASALT [562] / BASANITE [557],13.33,249,47.5
s_FE15-13 [24087],GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.44,-91.59,BASALT [24087],15.57,249.19,7.49
s_M20 [15682],MASCARENE ISLANDS INCL. REUNION / MAURITIUS,-20.37,57.49,NOT GIVEN [15682],15.78,249.4,6.8
s_I345 [18177],ICELAND / ICELAND / BARDARBUNGA/VEIDIV÷TN / EASTERN ICELAND RIFT ZONE / HAG÷NGUHRAUN FLOW,64.53,-18.4,BASALT [18177],14.94,250,1.9
s_GM92-129 [973],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT RABOUILLERE,-48.55,68.5,"BASALT, TRANSITIONAL [973] / BASALT [5176]",16.11,250,2.9
s_127 [216] / s_KAH 127 [18020],HAWAIIAN ISLANDS / KAHOOLAWE / POST-SHIELD STAGE,20.5,-156.67,THOLEIITE [216],14.78,250,12
s_MD-12 [3348],MADEIRA ARCHIPELAGO / MADEIRA / LATE RIFT PHASE,32.74,-16.94,BASALT [3348],14.59,250,23.4
s_734 [1634],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.5,"BASALT, ALKALINE [1634]",14.35,250,53.6
G93,Gough,-40.32,-9.93,Trachybasalt,13.48,250.95,48
samp. 121600,SANDOY (SAND÷),,,BASALT,14.02,251,3.9
s_D66A [11695],"GALAPAGOS ISLANDS / FLOREANA (SANTA MARIA, CHARLES)",1.51,-90.55,BASALT [11695],13.59,251,9
s_CHU 13-08 [21069],CAROLINE ISLANDS / CHUUK (TRUK) ISLANDS,5.46,151.88,BASALT [21069],14.31,251,12.4
s_113 [216] / s_KAH 113 [18020],HAWAIIAN ISLANDS / KAHOOLAWE / POST-SHIELD STAGE,20.5,-156.67,"BASALT, ALKALINE [216]",13.92,252,8
s_S496-6C [11395],HAWAIIAN ISLANDS / OAHU / KOOLAU / SHIELD STAGE / KOOLAU SERIES,21.89,-157.79,BASALT [11395],14.26,253,6.85
s_P-4-1 [24239],CAROLINE ISLANDS / PONAPE,6.9,158.25,NOT GIVEN [24239],13.62,253.6,26.5
s_BH-9 [15682],MASCARENE ISLANDS INCL. REUNION / MAURITIUS,-20.02,57.62,NOT GIVEN [15682],16.34,254,6
MGA116,Mangaia,-21.92,-157.92,,12.9,254.42,15.97
s_FL-09-01 [16341],AZORES / FLORES / UPPER VOLCANIC COMPLEX,39.41,-31.25,TRACHYBASALT [16341] / NOT GIVEN [19965],16.31,254.61,36.43
s_HO-13 [313],HAWAIIAN ISLANDS / MAUI / HALEAKALA / SHIELD STAGE / HONOMANU SERIES,20.72,-156.17,THOLEIITE [313],15.53,255,0.4
s_08.AUG.05 [12150],HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,19.33,-155.11,THOLEIITE [12150],13.52,255,7.2
s_SM0805 [23491],AZORES / SAO MIGUEL,37.81,-25.79,ANKARAMITE [23491],14.08,255.07,28.41
s_9359 [4593],ICELAND / ICELAND / THEISTAREYKIR VOLCANIC FIELD / NORTHERN ICELAND RIFT ZONE / STORAVITI FLOW,65.82,-16.9,"BASALT [4593] / THOLEIITE, OLIVINE [6174] / NOT GIVEN [4016]",17.76,256,0.86
s_07DSG79B [20505],"GALAPAGOS ISLANDS / SANTIAGO (JAMES, SAN SALVADOR)",-0.28,-90.73,BASALT [20505],16.6,256,0.88
s_BL-1 [606],"GALAPAGOS ISLANDS / SANTIAGO (JAMES, SAN SALVADOR)",-0.25,-91.7,BASALT [606],16.53,256,1.2
s_E97110 [6186] / s_E97-110 [6186],GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ECUADOR,-0.02,-91.55,BASALT [6186],18.16,256,5.96
s_R122-1.85-2.65 [15993],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,-155.05,BASALT [15993],13.67,256,8.5
s_PK91 P23 [16224],AZORES / PICO,38.5,-28.4,"BASALT, ALKALINE [16224]",14.7,256,25.5
"s_121-756D-6R-2,9-13 [998] / s_121-756D-6R-2,9-13 (F5) [19647]",NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 756,-27.355,87.597,BASALT [998],15.32,256,33
s_J-56 [4868],SELVAGEN ISLANDS / SELVAGEN PEQUENA / PEQUENA,30.3,-16.17,TEPHRITE [4868] / NOT GIVEN [15508],14.27,256,36.7
ATT125,Aitutaki,-18.93,-159.76,,11,256.8,35.56
s_F-33 [656],AZORES / FAIAL,38.58,-28.7,"BASALT, ALKALINE [656] / BASALT [170]",16.51,258,35.5
s_TLP 58-1 [19949],CANARY ISLANDS / LA PALMA,28.5,-18,BASANITE [19949],14.39,258,48.6
ATT104,Aitutaki,-18.93,-159.76,,11,258.12,48.51
s_P-4-4 [24239],CAROLINE ISLANDS / PONAPE,6.9,158.25,NOT GIVEN [24239],13.62,258.8,27.8
s_S501-4 [11395],HAWAIIAN ISLANDS / MOLOKAI / EAST MOLOKAI / REJUVENATED STAGE,21.72,-156.97,NOT GIVEN [11395],14.06,259,2.69
s_HW33 [7966],HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE,19.59,-155.49,BASALT [7966],13.81,259,6.77
s_KOL14 [11395],HAWAIIAN ISLANDS / OAHU / KOOLAU / SHIELD STAGE / KOOLAU SERIES,21.34,-157.85,NOT GIVEN [11395],13.96,259,6.88
s_WW9991 [344],HAWAIIAN ISLANDS / OAHU / KOOLAU / SHIELD STAGE / KOOLAU SERIES,21.34,-157.85,THOLEIITE [344],14.59,260,1.52
s_70NII-24  [19774],HAWAIIAN ISLANDS / NIIHAU / SHIELD STAGE / PANIAU UNIT,21.89,-160.18,NOT GIVEN [19774],14.31,260,2.84
s_TF51 [9586],CANARY ISLANDS / TENERIFE,28.12,-16.69,BASALT [9586],14.01,260,28
s_359 [13086] / s_121-359 [14545],CAPE VERDE ISLANDS / SANTIAGO / FLAMENGOS  FORMATION,15.17,-23.61,BASANITE [13086],14.37,260,51
s_LK1 [11395],HAWAIIAN ISLANDS / OAHU / KOOLAU / SHIELD STAGE / KOOLAU SERIES,21.37,-157.81,NOT GIVEN [11395],14.28,261,1.13
s_07.JUN.04 [12150],HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,19.33,-155.11,THOLEIITE [12150],13.56,261,7.4
s_T318-R18 [19774],HAWAIIAN ISLANDS / NIIHAU / REJUVENATED STAGE / KIEKIE BASALT,22.05,-160.22,NOT GIVEN [19774],14.31,261,8.2
s_P9 [756],PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS,-25.07,-130.1,"BASALT, ALKALINE [756] / BASALT [23139]",15.06,261.5,20.59
s_682 [1634],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.5,BASANITE [1634],11.32,262,55.1
"s_121-756D-10R-1,99-103 [998] / s_121-756D-10R-1,99-103 (F12) [19647]",NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 756,-27.355,87.597,BASALT [998],15.28,263,16
s_MU-5 [1627],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / HAMAKUA SERIES,20,-155.25,"BASALT, OLIVINE [1627] / BASALT, ALKALINE [40]",14.32,263,16.9
s_PM1 [11395],HAWAIIAN ISLANDS / OAHU / KOOLAU / SHIELD STAGE / KOOLAU SERIES,21.34,-157.85,NOT GIVEN [11395],14.5,264,0.56
s_KOO-1 [328],HAWAIIAN ISLANDS / OAHU / KOOLAU / SHIELD STAGE / KOOLAU SERIES,21.34,-157.85,THOLEIITE [328] / BASALT [7766] / NOT GIVEN [21958],14.14,264,5.48
s_AIT-24B [452] / s_AIT-24B_UNLEACHED [814],AUSTRAL-COOK ISLANDS / AITUTAKI,-18.87,-159.77,NEPHELINITE [452],11.3,264,28.4
s_ES15-12 [24087],GALAPAGOS ISLANDS / ESPANOLA (HOOD),-1.36,-89.65,BASALT [24087],16.3,264.21,6.08
s_GMD72 [19648],PITCAIRN-GAMBIER CHAIN / GAMBIER ISLAND - MANGAREVA / MONT DUFF,-23.13,-135,THOLEIITE [19648],15.3,265,2.86
s_S496-6E [11395],HAWAIIAN ISLANDS / OAHU / KOOLAU / SHIELD STAGE / KOOLAU SERIES,21.91,-157.79,BASALT [11395],14.39,265,8.01
"s_121-756D-6R-2,13-17 [998] / s_121-756D-6R-2,13-17 (F5) [19647]",NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 756,-27.355,87.597,BASALT [998],15.5,266,1.1
s_NA60 [726],CAPE VERDE ISLANDS / SAO ANTAO,17,-25,NEPHELINITE [726] / BASALT [651],10.34,266,49
s_AH95-45 [20340],HAWAIIAN ISLANDS / LANAI / SHIELD STAGE,20.83,-156.92,THOLEIITE [20340] / NOT GIVEN [15719],14.62,267,0.9
s_FL-3 [584],"GALAPAGOS ISLANDS / FLOREANA (SANTA MARIA, CHARLES) / MAIN SERIES",-1.24,-90.4,"BASALT, ALKALINE, OLIVINE [584] / BASALT [606]",14.27,267,20
samp. 121487,VILLINGEDALSFJALL,,,BASALT,14.68,268,2.3
s_Q1301 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.23,55.75,BASALT [1230],14.29,268,11.8
s_639-1 [12578],CANARY ISLANDS / LA PALMA,28.4,-17.87,BASALT [12578],14.08,269,26
s_BY96-37 [5177],KERGUELEN / KERGUELEN ARCHIPELAGO / MONT DES RUCHES,-48.87,68.96,BASALT [5177],14.47,270,8.8
s_JMDD LP 04 [15056],CANARY ISLANDS / LA PALMA / TABURIENTE / SHIELD STAGE / LOWER TABURIENTE SERIES,28.6,-17.9,BASANITE [15056],14.06,270.82,36.17
s_GM92-48 [973],KERGUELEN / FOCH / MOUNT BUREAU,-48.55,68.5,"BASALT, TRANSITIONAL [973] / BASALT [5176]",16.49,271,5.8
s_M-209 [4872],MADEIRA ARCHIPELAGO / MADEIRA,32.75,-17,NOT GIVEN [4872],14.53,271,22
G14,Gough,-40.32,-9.93,Trachybasalt,13.64,271.42,52
s_88KA-4 [19774],HAWAIIAN ISLANDS / KAUAI / KAUAI / SHIELD STAGE / NAPALI FORMATION,22,-159.36,NOT GIVEN [19774],13.92,272,6.7
s_T326-R1 [13316],HAWAIIAN ISLANDS / OAHU / WAIANAE,21.39,-158.47,THOLEIITE [13316],14.53,272,8.8
s_AG99-41 [7525],KERGUELEN / KERGUELEN ARCHIPELAGO,-49.48,69.67,"BASALT, ALKALINE [7525]",14.72,272,26.6
s_PON 13-28 [21069],CAROLINE ISLANDS / PONAPE,5.9,158.16,BASALT [21069],14.07,272,26.8
s_NSK97-262 [10282],"GALAPAGOS ISLANDS / FLOREANA (SANTA MARIA, CHARLES)",-1.31,-90.51,BASALT [10282],16.16,273,10.07
s_111748 [8504],CAPE VERDE ISLANDS / SAO ANTAO / OLDER VOLCANICS (SAO ANTAO),17,-25,BASANITE [8504],13.31,273,27
s_H15 [9565],ICELAND / ICELAND / EASTERN ICELAND RIFT ZONE,65.74,-17.51,"THOLEIITE, OLIVINE [9565] / NOT GIVEN [20356]",16.34,274,1.4
s_MR94-10 [7412],MASCARENE ISLANDS INCL. REUNION / MAURITIUS,-20.07,57.6,"BASALT, ALKALINE [7412]",15.72,274,5
s_AHA23 A [13694],GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,-0.26,-91.73,BASALT [13694],16.06,274,6.1
s_RN86 [947],CANARY ISLANDS / GRAN CANARIA / POST-SHIELD STAGE / ROQUE NUBLO FORMATION,28,-15.6,"BASALT, ALKALINE [947]",12.15,274,31
s_114533 [8504],CAPE VERDE ISLANDS / SAO ANTAO / ENRICHED OLDER VOLCANICS (SAO ANTAO),17,-25,BASANITE [8504],13.28,274,43
ATT103,Aitutaki,-18.93,-159.76,,11.16,274.11,42.2
s_252-04 [19624],HAWAIIAN ISLANDS / KAUAI / SOUTH KAUAI SWELL / SHIELD STAGE,21.34,-159.37,THOLEIITE [19624],13.54,275,6.2
s_J1974-EV [22613],HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE,19.4,-155.25,BASALT [22613],13.57,275,7.6
s_T322-R1 [12504] / s_T322-R1  [19774],HAWAIIAN ISLANDS / NIIHAU / REJUVENATED STAGE / KIEKIE BASALT,22.09,-160.22,"BASALT [12504] / NOT GIVEN [19774] / BASALT, ALKALINE [7190]",16.1,275,9.5
s_H123 [9565],ICELAND / ICELAND / LJOSUFJOELL,64.75,-21.59,"BASALT, TRANSITIONAL [9565]",15.5,275,9.7
s_D69A [21895],GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / SIERRA NEGRA,1.45,-90.64,BASALT [21895],14.17,275,10
s_74KOL-6 [19774],HAWAIIAN ISLANDS / KAUAI / KAUAI / REJUVENATED STAGE / KOLOA SERIES,21.93,-159.64,NOT GIVEN [19774],13.6,275,27.6
s_M-69 [7878],MASCARENE ISLANDS INCL. REUNION / MAURITIUS / OLDER SERIES / SHIELD STAGE,-20.33,57.5,BASALT [7878],13.75,276,35.5
s_685 [1634],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.5,"BASALT, ALKALINE [1634]",13.52,276,40.4
MCD93,McDonald seamount,,,,13.67,276.87,29.32
s_AZ05-AH [19003],AZORES / SAO JORGE,38.68,-28.07,NOT GIVEN [19003],14.74,277,27
s_ML-34 [153],HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / NORTHEAST RIFT ZONE / SHIELD STAGE,19.5,-155.5,"THOLEIITE [153] / BASALT, THOLEIITIC [17258]",13.54,278,5.57
s_ALIA-DR112-02 [14912],SAMOAN ISLANDS / TUTUILA / SHIELD STAGE,-14.12,-170.47,NOT GIVEN [14912],13.65,278,44.2
s_P-10-2 [24239],CAROLINE ISLANDS / PONAPE,6.9,158.25,NOT GIVEN [24239],13.19,278.4,32.44
s_UH81 [16348] / s_UH81-TE36 [24718],MARQUESAS / UA HUKA / HANE / POST-SHIELD STAGE,-8.92,-139.53,"BASALT, ALKALINE [16348]",13.8,278.56,55.82
MCD202,McDonald seamount,,,,13.5,278.69,9
s_SM0808 [23491],AZORES / SAO MIGUEL,37.77,-25.16,ANKARAMITE [23491],14.53,278.86,49.5
s_08DSG02 [20505],"GALAPAGOS ISLANDS / SANTIAGO (JAMES, SAN SALVADOR)",-0.33,-90.57,BASALT [20505],16.89,279,1.03
s_HW32 [7966],HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE,19.56,-155.52,BASALT [7966],13.7,279,5.79
s_75NII-10  [19774],HAWAIIAN ISLANDS / NIIHAU / POST-SHIELD STAGE,21.91,-160.09,NOT GIVEN [19774],14.53,279,11.6
"s_121-756D-8R-1,20-23 [998] / s_121-756D-8R-1,20-23 (F7) [19647]",NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 756,-27.355,87.597,BASALT [998],15.47,279,13
s_LGV27 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.25,55.66,BASALT [1230],14.14,280,10.5
s_93-472 [10516],KERGUELEN / MOUNT CAPITOLE,-48.55,68.5,BASALT [10516],15.1,281,6.17
s_IB1607 [12148],ICELAND / ICELAND,65.14,-13.77,NOT GIVEN [12148],14.78,281,7.76
s_TLP 50-2 [19993],CANARY ISLANDS / LA PALMA / CUMBRE VIEJA / AD 1585 ERUPTION,28.56,-19,BASANITE [19993],14.46,281,43.2
s_27856 [520],TRISTAN DA CUNHA GROUP / INACCESSIBLE,-37.32,-12.73,ANKARAMITE [520],13.02,281,48
s_HW21 [7966],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE,19.47,-155.58,BASALT [7966],13.63,282,9.53
s_K-26 [3348],MADEIRA ARCHIPELAGO / DESERTAS ISLANDS / CHAO / SHIELD STAGE,32.5,-16.5,PICRITE [3348],14.62,282,17.8
G35,Gough,-40.32,-9.93,Basalt,13.43,283.57,43
s_ML-129 [153],HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE,19.47,-155.58,"THOLEIITE [153] / BASALT, THOLEIITIC [17258]",13.7,284,5.7
s_RP07 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.23,55.6,BASALT [1230],15.16,284,24.5
s_299-29 [19624],HAWAIIAN ISLANDS / KAUAI / SOUTH KAUAI SWELL / SHIELD STAGE,21.41,-159.51,THOLEIITE [19624],14.15,285,6.2
s_AG99-37 [7525],KERGUELEN / KERGUELEN ARCHIPELAGO / AUBERT DE LA R‹E,-49.9,69.64,"BASALT, ALKALINE [7525]",13.92,285,39.2
s_M-61 [7878],MASCARENE ISLANDS INCL. REUNION / MAURITIUS / OLDER SERIES / SHIELD STAGE,-20.33,57.5,BASALT [7878],14.98,285,50.1
s_116515 [8459],CANARY ISLANDS / LA PALMA / CUMBRE VIEJA,28.56,-17.81,BASANITE [8459],13.45,285,51.1
s_TH05 [16348] / s_TH5-TE26 [24718],MARQUESAS / TAHUATA / VAITAHU / SHIELD STAGE,-9.89,-139.09,BASANITE [16348],13.5,285.25,43.36
s_156 [216] / s_KAH 156 [18020],HAWAIIAN ISLANDS / KAHOOLAWE / SHIELD STAGE,20.5,-156.67,THOLEIITE [216],15.77,286,1
s_SBX3 [2992],ICELAND / ICELAND,66.02,-23.79,BASALT [2992],14.58,286,3.1
s_UB-21 [10565],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,19.4,-155.27,NOT GIVEN [10565],13.63,286,6.64
s_GMD58 [19648],PITCAIRN-GAMBIER CHAIN / GAMBIER ISLAND - MANGAREVA / MONT DUFF,-23.13,-135,THOLEIITE [19648],15.48,287,0.57
s_D9-1 [11395],HAWAIIAN ISLANDS / MOLOKAI / EAST MOLOKAI / REJUVENATED STAGE,21.71,-156.97,NOT GIVEN [11395],13.53,287,5.19
s_15-JAN-04 [12150],HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,19.33,-155.11,THOLEIITE [12150],13.48,287,7.1
s_R108-0.0-0.7 [15993],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,-155.05,BASALT [15993],13.07,287,8.1
s_P253-12 [7555],HAWAIIAN ISLANDS / MOLOKAI / EAST MOLOKAI / REJUVENATED STAGE,21.18,-157.24,BASALT [7555],14.8,287,11.1
s_116520 [8459],CANARY ISLANDS / LA PALMA / CUMBRE VIEJA,28.5,-17.84,BASANITE [8459],13.98,287,40.4
s_NSK97-206 [10282],GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.29,-91.53,BASALT [10282],15.52,288,5.3
s_D28 A [13694] / s_DRFT04-D28-A [24087],GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.44,-91.65,BASALT [13694],13.26,288,6.6
s_H-441 [22613],HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,19.37,-155.19,BASALT [22613],13.37,288,9.4
s_DGR-47 [3348] / s_DGR47 [7407] / s_DGR 47 [15508],MADEIRA ARCHIPELAGO / DESERTAS ISLANDS / DESERTA GRANDE / SHIELD STAGE,32.54,-16.52,BASALT [3348] / NOT GIVEN [15508],14,288,23.1
s_ALIA-D115-22 [12241] / s_ALIA-DR115-22 [14912],SAMOAN ISLANDS / SAVAI^I / SHIELD STAGE,-14.09,-172.9,BASALT [12241] / NOT GIVEN [14912],12.64,288,57.4
s_14 [216] / s_KAH 14 [8517],HAWAIIAN ISLANDS / KAHOOLAWE / SHIELD STAGE,20.5,-156.67,THOLEIITE [216],15.51,289,0.38
s_H13 [9565],ICELAND / ICELAND / WESTERN ICELAND RIFT ZONE,64.41,-20.25,"THOLEIITE, OLIVINE [9565]",14.78,289,2.5
s_GM92-46 [973],KERGUELEN / FOCH / MOUNT BUREAU,-48.55,68.5,"BASALT, TRANSITIONAL [973] / BASALT [5176]",14.91,290,1.4
s_ML-37 [153],HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / NORTHEAST RIFT ZONE / SHIELD STAGE,19.5,-155.5,"THOLEIITE [153] / BASALT, THOLEIITIC [17258]",13.58,290,5.8
s_T27 [6967],SAMOAN ISLANDS / MANUA ISLANDS / TAU ISLAND,-14.22,-169.48,BASALT [6967],14.17,290,21.4
s_UP54 [8489],MARQUESAS / UA POU,-9.42,-140,BASANITE [8489],14,290,60
s_1982A-20 [6674] / s_1982-A-20† [21411],HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE,19.41,-155.29,THOLEIITE [6674] / NOT GIVEN [21411] / BASALT [22613],13.42,290.9,8.54
s_62 [216] / s_KAH 62 [18020],HAWAIIAN ISLANDS / KAHOOLAWE / POST-SHIELD STAGE,20.5,-156.67,"BASALT, ALKALINE [216]",14.93,291,24
s_GMD67 [19648],PITCAIRN-GAMBIER CHAIN / GAMBIER ISLAND - MANGAREVA / MONT DUFF,-23.13,-135,THOLEIITE [19648],14.79,292,3.05
s_PS-16 [615],GALAPAGOS ISLANDS / PINZON (DUNCAN) / NORTHERN YOUNGER SHIELD / N2 FLOW,-0.7,-90.7,"BASALT, OLIVINE [615]",15.79,292,3.92
s_HW31 [7966],HAWAIIAN ISLANDS / HAWAII / MAUNA LOA / SHIELD STAGE,19.54,-155.56,BASALT [7966],13.69,292,5.62
